Date,Close_AAPL,Close_KO,Close_MSFT,Close_PEP,Dividends_AAPL,Dividends_KO,Dividends_MSFT,Dividends_PEP,High_AAPL,High_KO,High_MSFT,High_PEP,Low_AAPL,Low_KO,Low_MSFT,Low_PEP,Open_AAPL,Open_KO,Open_MSFT,Open_PEP,Stock Splits_AAPL,Stock Splits_KO,Stock Splits_MSFT,Stock Splits_PEP,Volume_AAPL,Volume_KO,Volume_MSFT,Volume_PEP
2020-06-30,89.30191802978516,38.39296340942383,194.98004150390625,113.95060729980467,0.0,0.0,0.0,0.0,89.59078408793432,38.521857837693545,195.83273730566583,114.43309484922877,88.12689574147595,37.84301996759311,189.45189680472768,112.73581037316691,88.14647620901697,38.02346954483353,189.5860282358169,113.58014057838643,0.0,0.0,0.0,0.0,140223200.0,23679800,34310300.0,4626700
2020-07-01,89.13299560546875,38.51326370239258,196.1201019287109,114.03678131103516,0.0,0.0,0.0,0.0,89.928585529865,39.12335701240905,197.7009517994481,115.12234883420362,89.08404070787101,38.41874155730691,193.31291838796136,113.674925469979,89.38024286487585,38.60778584747825,194.6254908649047,114.18324583147864,0.0,0.0,0.0,0.0,110737200.0,14316500,32061200.0,3633000
2020-07-02,89.13299560546875,38.56482696533203,197.6147003173828,114.4589614868164,0.0,0.0,0.0,0.0,90.68990777300372,39.03743447209463,199.300940071346,115.5962209075062,89.01794823434024,38.496082386497214,196.40751790925145,114.19186518651522,90.04854109078778,38.91713473705563,197.05900900021075,115.05343053260658,0.0,0.0,0.0,0.0,114041600.0,15111900,29315800.0,2769200
2020-07-06,91.517333984375,38.86557388305664,201.8686065673828,114.84667205810548,0.0,0.0,0.0,0.0,91.9897902674116,38.89994617033394,202.2805909234431,115.40668431737244,90.54303951132258,38.33281654194542,199.3680028939945,113.99371756743686,90.57486430759305,38.78823787564358,200.0769914080946,114.65712661573468,0.0,0.0,0.0,0.0,118655600.0,15146000,31897600.0,4221600
2020-07-07,91.23336029052734,38.84838485717773,199.5213165283203,115.0792999267578,0.0,0.0,0.0,0.0,92.68500416282252,39.09757900456734,205.6722240278516,115.98393310427338,91.12075580455564,38.49607713352816,199.27221954731647,113.87310044599528,91.89920817947922,38.66793527924243,201.62910182230144,113.959262246923,0.0,0.0,0.0,0.0,112424400.0,13043600,33600700.0,4424500
2020-07-08,93.35821533203124,38.72808456420898,203.9093475341797,115.6393051147461,0.0,0.0,0.0,0.0,93.39004013209214,38.82260670684612,204.3213172997611,116.04424189071752,92.13178017325303,38.2125134126337,199.9428739774805,114.72604792517456,92.21991096346858,38.78823442262872,201.26503670278865,115.58761329593176,0.0,0.0,0.0,0.0,117092000.0,13851200,33600000.0,3798200
2020-07-09,93.7596664428711,37.7313117980957,205.33694458007807,114.33834075927734,0.0,0.0,0.0,0.0,94.31290237682056,38.7108989666208,207.31059888237647,115.3980624344562,92.70214200376472,37.6625705066154,202.6063943499021,113.4939972702124,94.25904675805288,38.7108989666208,207.2626916711188,114.50202712900844,0.0,0.0,0.0,0.0,125642800.0,16087100,33121700.0,4005200
2020-07-10,93.92367553710938,38.79682922363281,204.7141571044922,115.84607696533205,0.0,0.0,0.0,0.0,93.98243187483602,38.8827566564564,205.1069757258136,116.21654373705462,92.73396615431916,37.688347639432685,202.2327188035672,113.10629245288186,93.35085167088349,37.70553378158169,204.6662498986094,114.04539548237908,0.0,0.0,0.0,0.0,90257200.0,15627800,26177600.0,5932800
2020-07-13,93.49039459228516,38.88276290893555,198.3907928466797,116.23377990722656,0.0,0.0,0.0,0.0,97.874708418747,39.25225682975145,206.7548760681711,118.95632946024249,93.27497210282851,38.63356872458585,197.84467703569644,115.85468906485175,95.24069111320624,39.12336238186796,205.49019605487905,117.83629192043786,0.0,0.0,0.0,0.0,191649200.0,16705300,38135600.0,8960000
2020-07-14,95.0374984741211,39.41550827026367,199.61715698242188,116.75933074951172,0.0,0.0,0.0,0.0,95.23088263671464,39.47565812015482,200.09619982171807,117.99136279302644,91.92368176136324,38.38436283539677,193.56204847648868,115.66513915988163,92.86614380324497,38.59059323353854,197.49020560640847,115.95806820074549,0.0,0.0,0.0,0.0,170989200.0,17080100,37591800.0,6766800
2020-07-15,95.69110870361328,39.87093734741211,199.32012939453125,115.18268585205078,0.0,0.0,0.0,0.0,97.181920959108,40.54977191370551,202.47223932553388,117.33659945345364,94.48181139484456,39.699079208913,196.43629689145,114.80359495477262,96.9297804456948,39.78500663920188,200.7764236554644,116.61288763852916,0.0,0.0,0.0,0.0,153198000.0,23738000,32179400.0,5561300
2020-07-16,94.5136489868164,39.65612411499024,195.372787475586,115.34639739990234,0.0,0.0,0.0,0.0,95.37778187996284,40.12013692851624,197.07817844428465,115.75994517342863,93.90900025055068,39.475671227479054,193.83026928263664,114.6312964322016,94.55281739340722,39.75064299768783,196.790749879164,115.5014728850572,0.0,0.0,0.0,0.0,110577600.0,13306100,29940700.0,3788100
